City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
6,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
11,Guatire,VE,84.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
15,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Kudahuvadhoo,MV,81.54,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
20,Bengkulu,ID,75.97,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
25,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
31,Vicuna,CL,80.76,clear sky,-30.0319,-70.7081,Los Mosaicos
36,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Ambilobe,MG,75.15,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
56,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
59,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Atuona,PF,78.01,clear sky,-9.8,-139.0333,Villa Enata
62,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
66,Cap Malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
70,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
83,Kavieng,PG,80.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
94,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
99,Marovoay,MG,77.07,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
114,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
119,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
120,Hambantota,LK,76.23,scattered clouds,6.1241,81.1185,Bungalow 63
122,Chuy,UY,76.44,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
123,Panalingaan,PH,77.83,clear sky,8.7842,117.4231,I Love Panalingaan View Deck
124,Karratha,AU,82.47,broken clouds,-20.7377,116.8463,ibis Styles Karratha
125,Carnarvon,AU,77.65,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Raglan,NZ,75.33,overcast clouds,-37.8,174.8833,Raglan Sunset Motel
127,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
128,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
132,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
133,Chilca,PE,76.6,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
143,Bayaguana,DO,87.35,overcast clouds,18.7564,-69.6362,Rancho La Mecha
146,Aden,YE,76.82,few clouds,12.7794,45.0367,Sama Emirate Hotel
147,Vaini,TO,79.81,light rain,-21.2,-175.2,Keleti Beach Resort
148,Luis Correia,BR,86.0,light rain,-2.8792,-41.6669,Hotel Amarração
155,Coahuayana,MX,89.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
156,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
158,Samarai,PG,81.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
161,Pangai,TO,81.09,light rain,-19.8,-174.35,Ha'apai Beach Resort
163,Fare,PF,80.35,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
165,Copala,MX,84.74,clear sky,16.65,-98.9833,Kaak Naab Playa Ventura
166,San-Pedro,CI,80.04,few clouds,4.7485,-6.6363,Hotel Maria
172,Honiara,SB,80.46,moderate rain,-9.4333,159.95,Heritage Park Hotel
174,Omboue,GA,78.94,light rain,-1.5746,9.2618,Hotel Olako
180,Tutoia,BR,85.98,overcast clouds,-2.7619,-42.2744,Pousada Guará's
181,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Buala,SB,81.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
194,Canutama,BR,80.74,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
198,Nisia Floresta,BR,83.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
203,Itaituba,BR,77.7,overcast clouds,-4.2761,-55.9836,Hotel Campos
212,Sechura,PE,78.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
215,Santo Domingo,DO,87.44,few clouds,18.5001,-69.9886,Cabañas City Heart
219,Gigmoto,PH,76.86,scattered clouds,13.7796,124.39,Cj's Travellers Inn
220,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
221,Bubaque,GW,78.13,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Waingapu,ID,78.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
227,San Miguelito,PA,89.42,scattered clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
232,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Kontagora,NG,77.9,overcast clouds,10.3999,5.4695,Queens Guest Inn
237,Chimbarongo,CL,83.28,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
241,Alyangula,AU,82.17,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
246,Port-Gentil,GA,81.32,overcast clouds,-0.7193,8.7815,Fengshui Residence
252,Dolores,AR,82.99,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
255,Kieta,PG,80.71,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
258,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
262,Gizo,SB,82.96,light rain,-8.103,156.8419,Imagination Island
265,Mercedes,AR,88.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
273,Minna,NG,79.99,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
277,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
286,Sorong,ID,81.1,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
287,Caravelas,BR,80.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
291,Kimbe,PG,77.14,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
296,Inhambane,MZ,75.16,overcast clouds,-23.865,35.3833,Oceano
297,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
306,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
308,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
311,Santo Augusto,BR,86.07,scattered clouds,-27.8508,-53.7772,Hotel Marco Polo
312,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
316,Kikwit,CD,76.35,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
318,Cabo San Lucas,MX,80.91,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
319,Varkkallai,IN,80.38,clear sky,8.7341,76.7067,Hindustan Beach Retreat
321,Vao,NC,79.02,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
326,Koutiala,ML,80.49,few clouds,12.3917,-5.4642,Hotel La Chaumiere
329,Yenagoa,NG,75.76,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
333,Banda Aceh,ID,76.53,broken clouds,5.5577,95.3222,Sulthan Hotel International
338,Quelimane,MZ,75.06,clear sky,-17.8786,36.8883,Hotel Flamingo
342,Wukari,NG,78.62,broken clouds,7.85,9.7833,Elimtop
346,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
348,Cabadiangan,PH,76.19,clear sky,9.7531,122.4739,Kipot
349,Atar,MR,81.16,overcast clouds,20.5169,-13.0499,Oumou Elghoura
351,Itarema,BR,77.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
352,Roebourne,AU,84.7,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
354,Pau Brasil,BR,78.71,broken clouds,-15.4642,-39.6511,Tina Hotel
357,Sulangan,PH,81.19,broken clouds,11.1373,123.7228,Maia's Beach Resort
358,Touba,CI,79.29,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
360,Malpe,IN,78.1,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
362,Todos Santos,MX,80.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
364,Vaitape,PF,80.22,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
382,Mackay,AU,80.69,scattered clouds,-21.15,149.2,International Lodge Motel
384,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
387,Forbes,AU,78.93,clear sky,-33.3833,148.0167,Lake Forbes Motel
389,Saint-Georges,GD,77.63,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
390,Flinders,AU,75.06,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
397,Toro,CO,83.48,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
398,Lorengau,PG,78.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
403,Alugan,PH,77.72,few clouds,12.2188,125.4808,JM Lodge
405,Isangel,VU,77.54,overcast clouds,-19.55,169.2667,Tanna Lodge
414,Gambela,ET,85.8,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
415,Auki,SB,79.68,overcast clouds,-8.7676,160.7034,Auki Motel
416,Ewa Beach,US,79.02,few clouds,21.3156,-158.0072,Uncle Junior Robert
420,Tirumullaivasal,IN,76.35,few clouds,11.2333,79.8333,Almupaark complex
425,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
442,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
443,Madang,PG,75.27,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
448,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
451,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
456,Rocha,UY,79.25,clear sky,-34.4833,-54.3333,Hotel Arrarte
457,Hobyo,SO,76.68,light rain,5.3505,48.5268,Halane Hotel and Restaurent
464,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
465,Labuhan,ID,78.39,overcast clouds,-6.8844,112.2051,DoubleFAG
466,Mayumba,GA,77.76,overcast clouds,-3.432,10.6554,LIKWALE LODGE
469,Cairns,AU,78.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
478,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
483,Kuala Kedah,MY,80.58,few clouds,6.1,100.3,Artini Homestay
486,Anloga,GH,80.29,overcast clouds,5.7947,0.8973,Pin Drop Hotel
490,Kita,ML,81.09,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
494,Pauini,BR,82.33,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
502,Antalaha,MG,75.65,few clouds,-14.9003,50.2788,Hotel Vitasoa
505,Axim,GH,79.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
506,Monrovia,LR,78.57,few clouds,6.3005,-10.7969,Sunset Inn
509,Voh,NC,80.33,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
511,Bafoulabe,ML,86.85,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
512,Byron Bay,AU,78.06,overcast clouds,-28.65,153.6167,Backpackers Inn
519,Loandjili,CG,78.75,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
524,Santa Maria,BR,83.71,scattered clouds,-29.6842,-53.8069,Hotel Morotin
526,La Orilla,MX,83.79,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
527,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
528,Hervey Bay,AU,78.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
540,Kathu,TH,85.69,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
543,Rio Tercero,AR,89.46,clear sky,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
551,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
556,Terra Santa,BR,82.35,overcast clouds,-2.1042,-56.4869,Hotel Sarah
558,San Vicente,AR,82.2,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
563,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
566,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
567,Poum,NC,80.02,overcast clouds,-20.2333,164.0167,Gîte kajeon
568,Encantado,BR,85.05,broken clouds,-29.2361,-51.8697,Tri Hotel Encantado
570,Acarau,BR,77.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
574,Pandan,PH,76.86,light rain,14.0453,124.1694,Bonifacio Lodge
579,Harper,LR,80.17,broken clouds,4.375,-7.7169,Screensaver
581,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
583,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
593,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
595,Empalme,MX,79.36,broken clouds,27.9667,-110.8167,casa alejandro lopez
597,Tete,MZ,77.09,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
606,Puerto Quijarro,BO,78.6,overcast clouds,-17.7833,-57.7667,Hotel palance
607,Angoche,MZ,77.72,clear sky,-16.2325,39.9086,Guest House HESADA
616,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
618,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
621,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
623,Olavarria,AR,80.8,scattered clouds,-36.8927,-60.3225,Hotel Santa Rosa
627,Dhidhdhoo,MV,81.39,scattered clouds,6.8833,73.1,Dhidhoo beach
642,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
644,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
651,Sao Lourenco Do Oeste,BR,78.71,few clouds,-26.3592,-52.8511,Poente Hotel
662,Soyo,AO,79.2,light rain,-6.1349,12.3689,Hotel Mpampa
663,Papara,BR,81.68,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
665,Namatanai,PG,79.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
671,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
673,Sibolga,ID,75.78,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
675,Carauari,BR,83.62,overcast clouds,-4.8828,-66.8958,Hotel Fellip
685,Poso,ID,76.26,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
689,Makakilo City,US,77.61,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
692,Tchamba,TG,80.83,scattered clouds,9.0333,1.4167,ROYAL HOTEL TCHAMBA
699,Tamandare,BR,80.08,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
